title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,distributor_majors,distributors,wikipedia,wikidata,tmdb,notes
The Lady from Shanghai,1947,H,"US film before 1980, major as distributor and so its financier: Columbia Pictures (Sony)",medium,,23000000,,23000000.0,False,tmdb: $2300000,tmdb,United States,False,Mercury Theatre; Mercury Productions,wikipedia:studio,Sony,Columbia Pictures,https://en.wikipedia.org/wiki/The_Lady_from_Shanghai,https://www.wikidata.org/wiki/Q1214303,https://www.themoviedb.org/movie/3766,
Chimes at Midnight,1965,A,"no major studio; budget $6.0M in today's money, avg of 2 sources (< $35M)",high,,6000000,6000000.0,6000000.0,False,"wikipedia: $800,000 | tmdb: $800000",wikipedia+tmdb,Spain; Switzerland; France,True,Internacional Films Española; Alpine Productions,wikipedia:studio,,Brepi Films (Spain); CFDC (France & Switzerland),https://en.wikipedia.org/wiki/Chimes_at_Midnight,https://www.wikidata.org/wiki/Q2529482,https://www.themoviedb.org/movie/986,no budget text
Overheard,2009,A,"no major studio; budget $16.0M in today's money, wikipedia (< $35M)",high,,16000000,16000000.0,,False,"wikipedia: US$5–10 million<ref name=""The Film Catalogue"">{{cite web|url",wikipedia,Hong Kong,True,Sil-Metropole Organisation; Pop Movies; Polybona Films; Bona International Film Group,wikipedia:studio,,Distribution Workshop,https://en.wikipedia.org/wiki/Overheard_(film),https://www.wikidata.org/wiki/Q1055695,https://www.themoviedb.org/movie/24889,no budget text
Problemista,2023,A,"no major studio; budget $13.8M in today's money, tmdb (< $35M)",high,,13800000,,13799999.999999998,False,tmdb: $12000000,tmdb,United States,False,Fruit Tree (company); Fruit Tree,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/Problemista,https://www.wikidata.org/wiki/Q116692764,https://www.themoviedb.org/movie/852247,no budget text
Hunger,2008,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United Kingdom; Ireland,True,Film4 Productions; Film4; Channel 4; Northern Ireland Screen; Broadcasting Commission of Ireland; Wales Creative IP Fund,wikipedia:studio,,Pathé; Pathé Distribution,https://en.wikipedia.org/wiki/Hunger_(2008_film),https://www.wikidata.org/wiki/Q1637811,https://www.themoviedb.org/movie/10360,no budget text
The Deer Hunter,1978,H,"US film before 1980, major as distributor and so its financier: Universal Pictures (Universal)",medium,,82500000,82500000.0,82500000.0,False,"wikipedia: $15 million<ref name=""BOM"">{{cite web
| access-date     = Oc | tmdb: $15000000",wikipedia+tmdb,United States,False,EMI Films,wikipedia:studio,Universal,Universal Pictures,https://en.wikipedia.org/wiki/The_Deer_Hunter,https://www.wikidata.org/wiki/Q201674,https://www.themoviedb.org/movie/11778,
Revenge,2017,A,"no major studio; budget $3.8M in today's money, avg of 2 sources (< $35M)",high,,3835000,3900000.0,3770000.0,False,wikipedia: $2.9{{endash}}3 million | tmdb: $2900000,wikipedia+tmdb,France; Belgium,True,Charades; MES Productions; Monkey Pack Films; Logical Pictures; Nexus Factory; Umedia; uFund; Canal+ (French TV channel); Canal+; Ciné+ OCS; Ciné+; Cinémage 12,wikipedia:studio,,Rezo Films,https://en.wikipedia.org/wiki/Revenge_(2017_film),https://www.wikidata.org/wiki/Q39073132,https://www.themoviedb.org/movie/467938,no budget text
Tokyo Sonata,2008,A,"no major studio; budget $3.6M in today's money, avg of 2 sources (< $35M)",high,,3600000,4000000.0,3200000.0,False,"wikipedia: $2,500,000<ref>{{Cite web|url=https://www.imdb.com/title/tt0 | tmdb: $2000000",wikipedia+tmdb,Japan,True,Nikkatsu Corporation; Fortissimo Films; Hakuhodo DY Media Partners; Django Film; Tokyo Laboratory; avex pictures; Entertainment Farm,tmdb,,Netflix,https://en.wikipedia.org/wiki/Tokyo_Sonata,https://www.wikidata.org/wiki/Q1368350,https://www.themoviedb.org/movie/8937,no budget text
Chime,2024,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,Sunborn Inc; C&I Entertainment Inc,wikipedia:studio,,Roadstead,https://en.wikipedia.org/wiki/Chime_(film),https://www.wikidata.org/wiki/Q124355779,https://www.themoviedb.org/movie/1219556,no budget text
Peeping Tom,1960,A,"no major studio; budget $1.2M in today's money, avg of 2 sources (< $35M)",high,,1197789,1270577.85,1125000.0,False,"wikipedia: £133,394<ref name=""money"">{{cite book |last=Chapman |first=J | tmdb: $150000",wikipedia+tmdb,United Kingdom,True,Michael Powell (Theatre),wikipedia:studio,,Anglo-Amalgamated; Anglo-Amalgamated Film Distributors,https://en.wikipedia.org/wiki/Peeping_Tom_(1960_film),https://www.wikidata.org/wiki/Q478395,https://www.themoviedb.org/movie/11167,no budget text
The Puppetmaster,1993,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Taiwan,True,Qiu Fusheng; ERA; Nian Dai International,tmdb,,Netflix,https://en.wikipedia.org/wiki/The_Puppetmaster_(film),https://www.wikidata.org/wiki/Q711170,https://www.themoviedb.org/movie/96712,no budget text
Hoop Dreams,1994,A,"no major studio; budget $1.4M in today's money, avg of 2 sources (< $35M)",high,,1400000,1400000.0,1400000.0,False,"wikipedia: $700,000<ref>{{cite news |url=https://www.the-numbers.com/mo | tmdb: $700000",wikipedia+tmdb,United States,False,Kartemquin Films,wikipedia:studio,,Fine Line Features (United States); Capitol Films (Overseas),https://en.wikipedia.org/wiki/Hoop_Dreams,https://www.wikidata.org/wiki/Q511914,https://www.themoviedb.org/movie/14275,no budget text
The Long Day Closes,1992,A,"no major studio; budget $4.3M in today's money, wikipedia (< $35M)",high,,4318000,4318000.0,,False,"wikipedia: £1.7 million<ref name=""BFIStats""/>",wikipedia,United Kingdom,True,British Film Institute; Film4 Productions; Film Four International,wikipedia:studio,,Mayfair Entertainment,https://en.wikipedia.org/wiki/The_Long_Day_Closes_(film),https://www.wikidata.org/wiki/Q3077773,https://www.themoviedb.org/movie/49956,no budget text
Harakiri,1962,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,Shochiku,wikipedia:studio,,Shochiku,https://en.wikipedia.org/wiki/Harakiri_(1962_film),https://www.wikidata.org/wiki/Q1584406,https://www.themoviedb.org/movie/14537,no budget text
Ran,1985,H,"no major studio, but budget $36.0M in today's money, avg of 2 sources (> $35M)",medium,,36000000,36000000.0,36000000.0,False,wikipedia: {{USD|11–12 million|long=no}} | tmdb: $12000000,wikipedia+tmdb,Japan; France,True,Asmik Ace Entertainment; Kadokawa Daiei Studio,wikidata:P272,,Toho,https://en.wikipedia.org/wiki/Ran_(film),https://www.wikidata.org/wiki/Q565231,https://www.themoviedb.org/movie/11645,no budget text
A Brighter Summer Day,1991,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Taiwan,True,Yang & His Gang Filmmakers; Jane Balfour Films,wikipedia:studio,,Cine Qua Non Films,https://en.wikipedia.org/wiki/A_Brighter_Summer_Day,https://www.wikidata.org/wiki/Q710745,https://www.themoviedb.org/movie/15804,no budget text
Autumn Sonata,1978,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Sweden; France; Germany; Norway,True,ITC Entertainment,wikipedia:studio,,Constantin Film,https://en.wikipedia.org/wiki/Autumn_Sonata,https://www.wikidata.org/wiki/Q322572,https://www.themoviedb.org/movie/12761,no budget text
Mishima: A Life in Four Chapters,1985,H,major studio: Lucasfilm (Disney),high,Disney,15000000,15000000.0,15000000.0,False,wikipedia: $5 million | tmdb: $5000000,wikipedia+tmdb,Japan; United States,False,American Zoetrope; Zoetrope Studios; Filmlink International; Lucasfilm; Lucasfilm Ltd,wikipedia:studio,,Warner Bros. Pictures; Warner Bros,https://en.wikipedia.org/wiki/Mishima:_A_Life_in_Four_Chapters,https://www.wikidata.org/wiki/Q1740171,https://www.themoviedb.org/movie/27064,
Barry Lyndon,1975,H,"US film before 1980, major as distributor and so its financier: Warner Bros Pictures (Warner), Warner Bros (United States) (Warner), Columbia Pictures (Sony)",medium,,63250000,66000000.0,60500000.0,False,"wikipedia: $11–12 million<ref name=""film"">SECOND ANNUAL GROSSES GLOSS
B | tmdb: $11000000",wikipedia+tmdb,United States; United Kingdom,False,Hawk Films; Peregrine Productions,wikipedia:studio,Sony; Warner,Warner Bros. Pictures; Warner Bros. (United States); Columbia Pictures; Columbia -Warner Distributors (United Kingdom),https://en.wikipedia.org/wiki/Barry_Lyndon,https://www.wikidata.org/wiki/Q471716,https://www.themoviedb.org/movie/3175,
"Paris, Texas",1984,A,"no major studio; budget $4.9M in today's money, avg of 2 sources (< $35M)",high,,4875000,4500000.0,5250000.0,False,wikipedia: $1.5 million | tmdb: $1750000,wikipedia+tmdb,France; Germany,True,Road Movies Filmproduktion GmbH; Argos Films S.A,wikipedia:studio,,Argos Films (France); Tobis Film (West Germany); Palace Pictures (United Kingdom),"https://en.wikipedia.org/wiki/Paris,_Texas_(film)",https://www.wikidata.org/wiki/Q160946,https://www.themoviedb.org/movie/655,no budget text
Undone,2019,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,South Africa,True,The Animation School,tmdb,,,,,https://www.themoviedb.org/movie/879137,no budget text
Monkey Man,2024,H,major studio: Universal Pictures (Universal),high,Universal,10000000,10000000.0,10000000.0,False,wikipedia: $10 million<ref>{{cite web |url=https://www.thewrap.com/how- | tmdb: $10000000,wikipedia+tmdb,United States; Canada; Singapore; India,False,Universal Pictures; Bron Studios; Thunder Road Films; Minor Realm; Monkeypaw Productions; S YA Concept; WME Independent; Creative Wealth Media,wikipedia:studio,,Universal Pictures,https://en.wikipedia.org/wiki/Monkey_Man_(film),https://www.wikidata.org/wiki/Q105952623,https://www.themoviedb.org/movie/560016,
Nickel Boys,2024,A,"no major studio; budget $23.2M in today's money, avg of 2 sources (< $35M)",high,,23200000,23200000.0,23200000.0,False,wikipedia: $23.2{{nbsp}}million<!--sourced in #Production--> | tmdb: $23200000,wikipedia+tmdb,United States,False,Orion Pictures; Plan B Entertainment; Anonymous Content; Louverture Films,wikipedia:studio,,Amazon MGM Studios,https://en.wikipedia.org/wiki/Nickel_Boys,https://www.wikidata.org/wiki/Q116030637,https://www.themoviedb.org/movie/1028196,no budget text
New Rose Hotel,1998,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,Edward R. Pressman Film Corp; Quadra Entertainment,wikipedia:studio,,Avalanche Releasing,https://en.wikipedia.org/wiki/New_Rose_Hotel_(film),https://www.wikidata.org/wiki/Q976048,https://www.themoviedb.org/movie/21430,no budget text
High Plains Drifter,1973,H,"US film before 1980, major as distributor and so its financier: Universal Pictures (Universal)",medium,,30250000,30250000.0,30250000.0,False,wikipedia: $5.5 million<ref>[http://powergrid.thewrap.com/project/high- | tmdb: $5500000,wikipedia+tmdb,United States,False,The Malpaso Company,wikipedia:studio,Universal,Universal Pictures,https://en.wikipedia.org/wiki/High_Plains_Drifter,https://www.wikidata.org/wiki/Q906705,https://www.themoviedb.org/movie/11901,
The Brutalist,2024,A,"no major studio; budget $9.6M in today's money, avg of 2 sources (< $35M)",high,,9600000,9600000.0,9600000.0,False,wikipedia: $9.6 million ([[Film budgeting|net]])<ref>{{cite interview | | tmdb: $9600000,wikipedia+tmdb,United States; United Kingdom,False,Brookstreet Pictures; Kaplan Morrison,wikipedia:studio,,A24; * (United States); United International Pictures; UIP-DunaFilm; (Hungary); Universal Pictures; Focus Features; (United Kingdom),https://en.wikipedia.org/wiki/The_Brutalist,https://www.wikidata.org/wiki/Q101112656,https://www.themoviedb.org/movie/549509,no budget text
Pain and Glory,2019,A,"no major studio; budget $13.7M in today's money, avg of 2 sources (< $35M)",high,,13739060,13478400.0,13999720.8,False,wikipedia: [[euro|€]]9.6 million<ref>{{Cite web|url=https://www.lainfor | tmdb: $10769016,wikipedia+tmdb,Spain; France,True,El Deseo,wikipedia:studio,,Sony Pictures Releasing; Sony Pictures Releasing International,https://en.wikipedia.org/wiki/Pain_and_Glory,https://www.wikidata.org/wiki/Q55609803,https://www.themoviedb.org/movie/519010,no budget text
Philadelphia,1993,H,"no major studio, but budget $52.0M in today's money, avg of 2 sources (> $35M)",high,,52000000,52000000.0,52000000.0,False,wikipedia: $26&nbsp;million | tmdb: $26000000,wikipedia+tmdb,United States,False,Clinica Estetico Productions,wikipedia:studio,,TriStar Pictures,https://en.wikipedia.org/wiki/Philadelphia_(film),https://www.wikidata.org/wiki/Q204057,https://www.themoviedb.org/movie/9800,no budget text
The Trial of the Chicago 7,2020,H,major studio: Paramount Pictures (Paramount),high,Paramount,40250000,40250000.0,40250000.0,False,wikipedia: $35&nbsp;million<ref name=Keegan-Sept2020/> | tmdb: $35000000,wikipedia+tmdb,United States,False,Paramount Pictures; Cross Creek Pictures; DreamWorks Pictures; Marc Platt Productions; Shivani Rawat; ShivHans Pictures,wikipedia:studio,,Netflix,https://en.wikipedia.org/wiki/The_Trial_of_the_Chicago_7,https://www.wikidata.org/wiki/Q72397975,https://www.themoviedb.org/movie/556984,
A Few Good Men,1992,H,major studio: Castle Rock Entertainment (Warner),high,Warner,80000000,80000000.0,80000000.0,False,wikipedia: $33–40 million<ref name = mojo/><ref name = Numbers/> | tmdb: $40000000,wikipedia+tmdb,United States,False,Castle Rock Entertainment,wikipedia:studio,,Columbia Pictures,https://en.wikipedia.org/wiki/A_Few_Good_Men,https://www.wikidata.org/wiki/Q108946,https://www.themoviedb.org/movie/881,
A Time to Kill,1996,H,"no major studio, but budget $80.0M in today's money, avg of 2 sources (> $35M)",high,,80000000,80000000.0,80000000.0,False,wikipedia: $40 million<ref name=numbers>{{cite web|url= https://www.the | tmdb: $40000000,wikipedia+tmdb,United States,False,Regency Enterprises,wikipedia:studio,,Warner Bros. Pictures; Warner Bros,https://en.wikipedia.org/wiki/A_Time_to_Kill_(1996_film),https://www.wikidata.org/wiki/Q498867,https://www.themoviedb.org/movie/1645,no budget text
Find Me Guilty,2006,A,"no major studio; budget $20.8M in today's money, avg of 2 sources (< $35M)",high,,20800000,20800000.0,20800000.0,False,wikipedia: $13 million | tmdb: $13000000,wikipedia+tmdb,Germany; United States,False,One Race Films; Yari Film Group,wikipedia:studio,,Freestyle Releasing,https://en.wikipedia.org/wiki/Find_Me_Guilty,https://www.wikidata.org/wiki/Q64173,https://www.themoviedb.org/movie/9950,no budget text
Adolescence,2025,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
Kafka,2024,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
Touching the Void,2003,A,"no major studio; budget $4.1M in today's money, wikipedia (< $35M)",high,,4064000,4064000.0,,False,wikipedia: £2 million,wikipedia,United Kingdom,True,Film4 Productions; FilmFour; UK Film Council; Channel 4; PBS; Darlow Smithson Productions,wikipedia:studio,,IFC Films (United States); Film4 Productions; FilmFour Distributors; Pathé Distribution (United Kingdom),https://en.wikipedia.org/wiki/Touching_the_Void_(film),https://www.wikidata.org/wiki/Q2299632,https://www.themoviedb.org/movie/11194,no budget text
The Dark Glow of the Mountains,1985,A,"no major studio; budget $0.2M in today's money, tmdb (< $35M)",high,,187500,,187500.0,False,tmdb: $62500,tmdb,Germany,True,Süddeutscher Rundfunk; Werner Herzog Filmproduktion,wikidata:P272,,Werner Herzog,https://en.wikipedia.org/wiki/The_Dark_Glow_of_the_Mountains,https://www.wikidata.org/wiki/Q3758609,https://www.themoviedb.org/movie/139945,no budget text
Love Streams,1984,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,The Cannon Group; Golan-Globus Productions,tmdb,,Cannon Films,https://en.wikipedia.org/wiki/Love_Streams_(film),https://www.wikidata.org/wiki/Q2521232,https://www.themoviedb.org/movie/52109,no budget text
EO,2022,A,"no major studio; budget $3.0M in today's money, wikipedia (< $35M)",high,,3018750,3018749.9999999995,,False,wikipedia: 10.5 million zł<br />(€2.3 million)<ref>{{Cite web |last=Gry,wikipedia,Poland; Italy,True,Skopia Film; Alien Films,wikipedia:studio,,Gutek Film (Poland); Arthouse (Italy),https://en.wikipedia.org/wiki/EO_(film),https://www.wikidata.org/wiki/Q111601259,https://www.themoviedb.org/movie/785398,no budget text
Fire Will Come,2019,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Spain; France; Luxembourg,True,4 A 4 Productions; Kowalski Films; Miramemira; Tarantula Luxembourg,wikipedia:studio,,Pyramide Distribution,https://en.wikipedia.org/wiki/Fire_Will_Come,https://www.wikidata.org/wiki/Q63254980,https://www.themoviedb.org/movie/575561,no budget text
Caught Stealing,2025,H,major studio: Columbia Pictures (Sony),high,Sony,40000000,40000000.0,40000000.0,False,wikipedia: $40{{nbsp}}million | tmdb: $40000000,wikipedia+tmdb,United States,False,Columbia Pictures; Protozoa Pictures,wikipedia:studio,,Sony Pictures Releasing,https://en.wikipedia.org/wiki/Caught_Stealing,https://www.wikidata.org/wiki/Q130248726,https://www.themoviedb.org/movie/1245993,
The Hidden Fortress,1958,A,"no major studio; budget $11.8M in today's money, wikipedia (< $35M)",high,,11758500,11758500.0,,False,wikipedia: {{¥|195 million}}{{sfn|Shiozawa|2005|p=92}},wikipedia,Japan,True,Toho,wikipedia:studio,,Toho; Netflix,https://en.wikipedia.org/wiki/The_Hidden_Fortress,https://www.wikidata.org/wiki/Q39946,https://www.themoviedb.org/movie/1059,no budget text
If I Had Legs I'd Kick You,2025,A,"no major studio; budget $1.5M in today's money, tmdb (< $35M)",high,,1500000,,1500000.0,False,tmdb: $1500000,tmdb,United States,False,A24; Central Pictures; Fat City; Bronxburgh,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/If_I_Had_Legs_I'd_Kick_You,https://www.wikidata.org/wiki/Q124450734,https://www.themoviedb.org/movie/1160360,no budget text
Space Is the Place,1974,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,North American Star System,tmdb,,,https://en.wikipedia.org/wiki/Space_Is_the_Place,https://www.wikidata.org/wiki/Q7572391,https://www.themoviedb.org/movie/16203,no budget text
The Train,1964,H,"US film before 1980, major as distributor and so its financier: United Artists (Amazon MGM)",medium,,43500000,43500000.0,43500000.0,False,"wikipedia: $5.8 million<ref name=""numbers"">[http://www.the-numbers.com/ | tmdb: $5800000",wikipedia+tmdb,United States; Italy; France,False,Les Productions Artistes Associés; Les Films Ariane; Dear Film,wikipedia:studio,Amazon MGM,United Artists,https://en.wikipedia.org/wiki/The_Train_(1964_film),https://www.wikidata.org/wiki/Q142751,https://www.themoviedb.org/movie/3482,
Crimson Tide,1995,H,major studio: Hollywood Pictures (Disney),high,Disney,106000000,106000000.0,106000000.0,False,wikipedia: $53 million<ref>{{cite web | url=https://www.imdb.com/title/ | tmdb: $53000000,wikipedia+tmdb,United States,False,Hollywood Pictures; Don Simpson/Jerry Bruckheimer Films,wikipedia:studio,,Walt Disney Studios Motion Pictures; Buena Vista Pictures Distribution,https://en.wikipedia.org/wiki/Crimson_Tide_(film),https://www.wikidata.org/wiki/Q1140085,https://www.themoviedb.org/movie/8963,
Out of Sight,1998,H,"no major studio, but budget $96.0M in today's money, avg of 2 sources (> $35M)",high,,96000000,96000000.0,96000000.0,False,wikipedia: $48 million | tmdb: $48000000,wikipedia+tmdb,United States,False,Danny DeVito; Jersey Films,wikipedia:studio,,Universal Pictures,https://en.wikipedia.org/wiki/Out_of_Sight,https://www.wikidata.org/wiki/Q571183,https://www.themoviedb.org/movie/1389,no budget text
Save the Green Planet!,2003,A,"no major studio; budget $4.8M in today's money, avg of 2 sources (< $35M)",high,,4800000,4800000.0,4800000.0,False,wikipedia: $3 million | tmdb: $3000000,wikipedia+tmdb,South Korea,True,CJ ENM Films & Television; IHQ,wikidata:P272,,CJ Entertainment,https://en.wikipedia.org/wiki/Save_the_Green_Planet!,https://www.wikidata.org/wiki/Q482944,https://www.themoviedb.org/movie/11297,no budget text
Father Mother Sister Brother,2025,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States; Ireland; France; Italy; Japan,False,Yves Saint Laurent (fashion house); Saint Laurent Productions; Badjetlag; CG Cinéma; The Apartment (production company); The Apartment Pictures; Fremantle (company); Fremantle; Les Films du Losange; Weltkino; Cinema Inutile; Screen Ireland; Fis Éirann / Screen Ireland; Hail Mary Pictures,wikipedia:studio,,Mubi (streaming service); Mubi (Select territories); Les Films du Losange (France); Lucky Red (Italy),https://en.wikipedia.org/wiki/Father_Mother_Sister_Brother,https://www.wikidata.org/wiki/Q124364048,https://www.themoviedb.org/movie/1159206,no budget text
Rubber,2010,A,"no major studio; budget $0.8M in today's money, avg of 2 sources (< $35M)",high,,845000,1040000.0,650000.0,False,"wikipedia: $800,000<ref>{{cite magazine|url=https://ew.com/article/2011 | tmdb: $500000",wikipedia+tmdb,France,True,Realitism Films; Groupe Canal+; Canal+; Arte,wikipedia:studio,,UFO Distribution,https://en.wikipedia.org/wiki/Rubber_(2010_film),https://www.wikidata.org/wiki/Q2171533,https://www.themoviedb.org/movie/45649,no budget text
Fireworks,1997,A,"no major studio; budget $4.6M in today's money, wikipedia (< $35M)",high,,4600000,4600000.0,,False,"wikipedia: $2.3 million<ref>Kitano, Takeshi, ''Fireworks'' DVD booklet,",wikipedia,Japan,True,Bandai Visual; Office Kitano; Tokyo FM; TV Tokyo,wikipedia:studio,,Nippon Herald Films,https://en.wikipedia.org/wiki/Hana-bi,https://www.wikidata.org/wiki/Q1125897,https://www.themoviedb.org/movie/5910,no budget text
The Last Viking,2025,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Denmark; Sweden,True,Zentropa; Zentropa Sweden; Film i Väst,wikipedia:studio,,Vertigo Média,https://en.wikipedia.org/wiki/The_Last_Viking_(2025_film),https://www.wikidata.org/wiki/Q135438510,https://www.themoviedb.org/movie/1295400,no budget text
Cool Hand Luke,1967,H,"US film before 1980, major as distributor and so its financier: Warner Bros -Seven Arts (Warner)",medium,,24000000,24000000.0,24000000.0,False,"wikipedia: $3.2&nbsp;million<ref>Hannan, Brian (2016). ''Coming Back to | tmdb: $3200000",wikipedia+tmdb,United States,False,Jalem Productions,wikipedia:studio,Warner,Warner Bros.-Seven Arts,https://en.wikipedia.org/wiki/Cool_Hand_Luke,https://www.wikidata.org/wiki/Q684150,https://www.themoviedb.org/movie/903,
No Other Choice,2025,A,"no major studio; budget $12.4M in today's money, avg of 2 sources (< $35M)",high,,12390000,12580000.0,12200000.0,False,wikipedia: {{KRW|17 billion|link=yes}}<br />{{nowrap|(~{{US$|12.2 milli | tmdb: $12200000,wikipedia+tmdb,South Korea,True,CJ Entertainment; Moho Film; KG Productions,wikipedia:studio,,CJ Entertainment,https://en.wikipedia.org/wiki/No_Other_Choice,https://www.wikidata.org/wiki/Q129906152,https://www.themoviedb.org/movie/639988,no budget text
Dune: Part Three,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,United States,False,Legendary Pictures,wikipedia:studio,,Warner Bros. Pictures,https://en.wikipedia.org/wiki/Dune:_Part_Three,https://www.wikidata.org/wiki/Q124714245,https://www.themoviedb.org/movie/1170608,no budget text
Werwulf,2026,H,major studio: Working Title Films (Universal),high,Universal,,,,False,,,United States; United Kingdom,False,Focus Features; Working Title Films; Chris Columbus (filmmaker); Maiden Voyage Pictures,wikipedia:studio,,Focus Features (United States); Universal Pictures (International),https://en.wikipedia.org/wiki/Werwulf,https://www.wikidata.org/wiki/Q131853471,https://www.themoviedb.org/movie/1421903,
The Further Mis-Adventures of Cliff Booth,2026,H,"no major studio, but budget $200.0M in today's money, avg of 2 sources (> $35M)",high,,200000000,200000000.0,200000000.0,False,"wikipedia: $200{{nbsp}}million<ref name=""Budget"">{{Cite web |last=Perez | tmdb: $200000000",wikipedia+tmdb,United States,False,Plan B Entertainment; Heyday Films; Panic Pictures,wikipedia:studio,,Netflix,https://en.wikipedia.org/wiki/The_Further_Mis-Adventures_of_Cliff_Booth,https://www.wikidata.org/wiki/Q134236545,https://www.themoviedb.org/movie/1457866,no budget text
Bringing Out the Dead,1999,H,"major studio: Paramount Pictures (Paramount), Touchstone Pictures (Disney)",high,Disney; Paramount,64000000,64000000.0,64000000.0,False,wikipedia: $32 million<ref>{{cite web | url=https://www.rogerebert.com/ | tmdb: $32000000,wikipedia+tmdb,United States,False,Paramount Pictures; Touchstone Pictures; Scott Rudin Productions,wikipedia:studio,,Paramount Pictures; (United States); Buena Vista International (International),https://en.wikipedia.org/wiki/Bringing_Out_the_Dead,https://www.wikidata.org/wiki/Q599013,https://www.themoviedb.org/movie/8649,
"Goodbye, Dragon Inn",2003,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Taiwan,True,Homegreen Films,tmdb,,Homegreen Films,"https://en.wikipedia.org/wiki/Goodbye,_Dragon_Inn",https://www.wikidata.org/wiki/Q3110692,https://www.themoviedb.org/movie/56616,no budget text
All That Jazz,1979,H,"major studio: 20th Century Studios (Disney/Fox), Columbia Pictures (Sony)",high,Disney/Fox; Sony,66000000,66000000.0,66000000.0,False,wikipedia: $12 million{{sfn|Solomon|2002|p=258}} | tmdb: $12000000,wikipedia+tmdb,United States,False,20th Century Studios; 20th Century-Fox; Columbia Pictures,wikipedia:studio,,20th Century-Fox (United States and Canada); Columbia Pictures (International),https://en.wikipedia.org/wiki/All_That_Jazz_(film),https://www.wikidata.org/wiki/Q1353441,https://www.themoviedb.org/movie/16858,
To Live and Die in L.A.,1985,H,major studio: United Artists (Amazon MGM),high,Amazon MGM,18000000,18000000.0,18000000.0,False,wikipedia: $6 million | tmdb: $6000000,wikipedia+tmdb,United States,False,United Artists; New Century Productions; SLM Production Group,wikipedia:studio,,MGM/UA Entertainment Co,https://en.wikipedia.org/wiki/To_Live_and_Die_in_L.A._(film),https://www.wikidata.org/wiki/Q613485,https://www.themoviedb.org/movie/9846,
Ghost in the Shell: Stand Alone Complex - Solid State Society,2006,A,"no major studio; budget $5.1M in today's money, tmdb (< $35M)",high,,5120000,,5120000.0,False,tmdb: $3200000,tmdb,Japan,True,Production I.G,wikidata:P272,,Netflix,https://en.wikipedia.org/wiki/Ghost_in_the_Shell:_Stand_Alone_Complex_–_Solid_State_Society,https://www.wikidata.org/wiki/Q764897,https://www.themoviedb.org/movie/18874,no budget text
American Splendor,2003,A,"no major studio; budget $3.2M in today's money, avg of 2 sources (< $35M)",high,,3200000,3200000.0,3200000.0,False,"wikipedia: $2 million<ref name=""numbers"">{{cite web |url=https://www.th | tmdb: $2000000",wikipedia+tmdb,United States,False,HBO Films; Good Machine,wikipedia:studio,,Fine Line Features,https://en.wikipedia.org/wiki/American_Splendor_(film),https://www.wikidata.org/wiki/Q466961,https://www.themoviedb.org/movie/2771,no budget text
Winter Sleep,2014,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Turkey; Germany; France,True,NBC Film; Bredok Filmproduction; Memento Films Production; Zeynofilm,wikipedia:studio,,Pinema,https://en.wikipedia.org/wiki/Winter_Sleep_(film),https://www.wikidata.org/wiki/Q15921329,https://www.themoviedb.org/movie/265169,no budget text
King Kong,1933,H,major studio: RKO Pictures (RKO),high,RKO,8065528,8067057.0,8064000.0,False,"wikipedia: $672,254.75{{sfn|Jewell|1994|p=39}}<ref name=""tcm notes""/> | tmdb: $672000",wikipedia+tmdb,United States,False,RKO Pictures,wikidata:P272,,RKO Pictures; RKO Radio Pictures,https://en.wikipedia.org/wiki/King_Kong_(1933_film),https://www.wikidata.org/wiki/Q309048,https://www.themoviedb.org/movie/244,
